NC_018874	AbHV
NC_002531	AlHV1
NC_024382	AlHV2
NC_013668	AngHV1
NC_013036	AnHV1
NC_016447	AoHV1
NC_034446	AtHV1
NC_001987	AtHV3
NC_001847	BoHV1
NC_002665	BoHV4
NC_005261	BoHV5
NC_024303	BoHV6
NC_030117	CaHV1
NC_004367	CalHV3
NC_020231	CavHV2
NC_004812	CeHV1
NC_007653	CeHV16
NC_006560	CeHV2
NC_012783	CeHV5
NC_027016	CeHV5t2
NC_002686	CeHV9
NC_023677	ChHV1
NC_034266	CoHV1
NC_015049	CrHV2
NC_033176	CyCMV
NC_019491	CyHV1
NC_019495	CyHV2
NC_009127	CyHV3
NC_035117	DeHV1
NC_001491	EHV1
NC_001650	EHV2
NC_024771	EHV3
NC_001844	EHV4
NC_026421	EHV5
NC_017826	EHV8
NC_011644	EHV9
NC_020474	ElHV1
NC_028379	ElHV4
NC_024696	ElHV5
NC_024450	FaHV1
NC_024306	FBaHV1
NC_028099	FcaGHV1
NC_013590	FeHV1
NC_006623	GaHV1
NC_002229	GaHV2
NC_002577	GaHV3
NC_001806	HHV1
NC_001798	HHV2
NC_001348	HHV3
NC_007605	HHV4
NC_009334	HHV4t2
NC_006273	HHV5
NC_001664	HHV6A
NC_000898	HHV6B
NC_001716	HHV7
NC_009333	HHV8
NC_001493	IcHV1
NC_029311	LHV4
NC_029132	MaHV1
NC_006150	McHV3
NC_006146	McHV4
NC_003401	McHV5
NC_002641	MeHV1
NC_030200	MneHV7
NC_033620	MRV
NC_004065	MuHV1
NC_002512	MuHV2
NC_001826	MuHV4
NC_019559	MuHV8
NC_029255	MyHV8
NC_007646	OHV2
NC_005881	OsHV1
NC_003521	PnHV2
NC_005264	PsHV1
NC_008211	RaHV1
NC_008210	RaHV2
NC_034618	RaHV3
NC_014567	SaHV1
NC_001350	SaHV2
NC_016448	SaHV4
NC_033464	SpHV2
NC_006151	SuHV1
NC_022233	SuHV2
NC_027916	TeHV3
NC_002794	TuHV1
