d001: PF03048 (Herpes_UL92)
d002: PF03117 (Herpes_UL49_1)
d003: PF03277 (Herpes_UL4)
d004: PF03369 (Herpes_UL3)
d005: PF01621 (Fusion_gly_K)
d006: PF03387 (Herpes_UL46)
d007: PF11094 (UL11)
d008: PF04540 (Herpes_UL51)
d009: PF04823 (Herpes_UL49_2)
d010: PF04544 (Herpes_UL20)
d011: PF03586 (Herpes_UL36)
d012: PF00867 (XPG_I)
d013: PF07714 (Pkinase_Tyr)
d014: PF02124 (Marek_A)
d015: PF03970 (Herpes_UL37_1)
d016: PF05702 (Herpes_UL49_5)
d017: PF00069 (Pkinase)
d018: PF02053 (Gene66)
d019: PF02480 (Herpes_gE)
d020: PF03252 (Herpes_UL21)
d021: PF01537 (Herpes_glycop_D)
d022: PF05259 (Herpes_UL1)
d023: PF02232 (Alpha_TIF)
d024: PF03580 (Herpes_UL14)
d025: PF03049 (Herpes_UL79)
d026: PF01673 (Herpes_env)
d027: PF03038 (Herpes_UL95)
d028: PF03043 (Herpes_UL87)
d029: PF04523 (Herpes_U30)
d030: PF04533 (Herpes_U44)
d031: PF04633 (Herpes_BMRF2)
d032: PF13507 (GATase_5)
d033: PF04793 (Herpes_BBRF1)
d034: PF04929 (Herpes_DNAp_acc)
d035: PF05812 (Herpes_BLRF2)
d036: PF03326 (Herpes_TAF50)
d037: PF08465 (Herpes_TK_C)
d038: PF05852 (DUF848)
d039: PF10813 (DUF2733)
d040: PF05734 (DUF832)
d041: PF11108 (Phage_glycop_gL)
d042: PF12818 (Tegument_dsDNA)
d043: PF00452 (Bcl-2)
d044: PF04682 (Herpes_BTRF1)
d045: PF04797 (Herpes_ORF11)
d046: PF06861 (BALF1)
d047: PF02769 (AIRS_C)
d048: PF06112 (Herpes_capsid)
d049: PF02399 (Herpes_ori_bp)
d050: PF06734 (UL97)
d051: PF04637 (Herpes_pp85)
d052: PF01801 (Cytomega_gL)
d053: PF10867 (DUF2664)
d054: PF04532 (DUF587)
d055: PF04529 (Herpes_U59)
d056: PF00001 (7tm_1)
d057: PF00317 (Ribonuc_red_lgN)
d058: PF03362 (Herpes_UL47)
d059: PF01688 (Herpes_gI)
d060: PF05473 (UL45)
d061: PF03584 (Herpes_ICP4_N)
d062: PF01712 (dNK)
d063: PF01403 (Sema)
d064: PF00303 (Thymidylat_synt)
d065: PF04527 (Retinin_C)
d066: PF00726 (IL10)
d067: PF00059 (Lectin_C)
d068: PF05774 (Herpes_heli_pri)
d069: PF05338 (DUF717)
