d001: PF03043 (Herpes_UL87)
d002: PF03048 (Herpes_UL92)
d003: PF02232 (Alpha_TIF)
d004: PF03580 (Herpes_UL14)
d005: PF02053 (Gene66)
d006: PF03277 (Herpes_UL4)
d007: PF03387 (Herpes_UL46)
d008: PF11094 (UL11)
d009: PF03586 (Herpes_UL36)
d010: PF04540 (Herpes_UL51)
d011: PF02480 (Herpes_gE)
d012: PF02124 (Marek_A)
d013: PF05702 (Herpes_UL49_5)
d014: PF00867 (XPG_I)
d015: PF01621 (Fusion_gly_K)
d016: PF03970 (Herpes_UL37_1)
d017: PF04823 (Herpes_UL49_2)
d018: PF05259 (Herpes_UL1)
d019: PF07714 (Pkinase_Tyr)
d020: PF03369 (Herpes_UL3)
d021: PF00069 (Pkinase)
d022: PF03252 (Herpes_UL21)
d023: PF04544 (Herpes_UL20)
d024: PF01537 (Herpes_glycop_D)
d025: PF04533 (Herpes_U44)
d026: PF03117 (Herpes_UL49_1)
d027: PF03038 (Herpes_UL95)
d028: PF01673 (Herpes_env)
d029: PF03049 (Herpes_UL79)
d030: PF08465 (Herpes_TK_C)
d031: PF11108 (Phage_glycop_gL)
d032: PF04929 (Herpes_DNAp_acc)
d033: PF05734 (DUF832)
d034: PF04797 (Herpes_ORF11)
d035: PF12818 (Tegument_dsDNA)
d036: PF13507 (GATase_5)
d037: PF04523 (Herpes_U30)
d038: PF02769 (AIRS_C)
d039: PF06112 (Herpes_capsid)
d040: PF10813 (DUF2733)
d041: PF04682 (Herpes_BTRF1)
d042: PF03326 (Herpes_TAF50)
d043: PF04793 (Herpes_BBRF1)
d044: PF06861 (BALF1)
d045: PF05812 (Herpes_BLRF2)
d046: PF04633 (Herpes_BMRF2)
d047: PF05852 (DUF848)
d048: PF02399 (Herpes_ori_bp)
d049: PF04637 (Herpes_pp85)
d050: PF00001 (7tm_1)
d051: PF06734 (UL97)
d052: PF01801 (Cytomega_gL)
d053: PF04529 (Herpes_U59)
d054: PF04532 (DUF587)
d055: PF10867 (DUF2664)
d056: PF00692 (dUTPase)
d057: PF00317 (Ribonuc_red_lgN)
d058: PF01688 (Herpes_gI)
d059: PF03362 (Herpes_UL47)
d060: PF03584 (Herpes_ICP4_N)
d061: PF05473 (UL45)
d062: PF01712 (dNK)
d063: PF00726 (IL10)
d064: PF00303 (Thymidylat_synt)
d065: PF00059 (Lectin_C)
d066: PF01403 (Sema)
d067: PF04527 (Retinin_C)
d068: PF01335 (DED)
d069: PF05338 (DUF717)
d070: PF05774 (Herpes_heli_pri)
d071: PF02905 (EBV-NA1)
d072: PF00452 (Bcl-2)
d073: PF05109 (Herpes_BLLF1)
d074: PF05784 (Herpes_UL82_83)
d075: PF02393 (US22)
d076: PF03064 (U79_P34)
d077: PF07413 (Herpes_UL37_2)
d078: PF03361 (Herpes_IE2_3)
d079: PF06070 (Herpes_UL32)
d080: PF04489 (DUF570)
d081: PF17474 (U71)
d082: PF17086 (HV_small_capsid)
d083: PF05999 (Herpes_U5)
d084: PF06501 (Herpes_U55)
d085: PF03325 (Herpes_PAP)
d086: PF17442 (U62_UL91)
d087: PF00693 (Herpes_TK)
d088: PF00268 (Ribonuc_red_sm)
d089: PF08205 (C2-set_2)
d090: PF02485 (Branch)
d091: PF01677 (Herpes_UL7)
d092: PF17488 (Herpes_glycoH_C)
d093: PF17532 (DUF5451)
d094: PF03363 (Herpes_LP)
d095: PF05297 (Herpes_LMP1)
d096: PF14565 (IL22)
d097: PF07415 (Herpes_LMP2)
d098: PF07686 (V-set)
d099: PF05009 (EBV-NA3)
d100: PF01443 (Viral_helicase1)
d101: PF02784 (Orn_Arg_deC_N)
d102: PF00278 (Orn_DAP_Arg_deC)
d103: PF12906 (RINGv)
d104: PF07716 (bZIP_2)
d105: PF15209 (IL31)
d106: PF00134 (Cyclin_N)
d107: PF00084 (Sushi)
d108: PF02389 (Cornifin)
d109: PF01391 (Collagen)
d110: PF00229 (TNF)
