node	group	median	range	taxa	members
1	Amniota	312	297 - 326	67	Amazona_oratrix, Anas_acuta, Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Bos_taurus, Bubalus_bubalis, Callithrix_jacchus, Canis_lupus, Cavia_porcellus, Cervus_elaphus, Chelonia_mydas, Chlorocebus_aethiops, Colobus_guereza, Columba_livia, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Elephas_maximus, Eptesicus_fuscus, Equus_caballus, Erythrocebus_patas, Falco_mexicanus, Felis_catus, Gallus_gallus, Gorilla_gorilla, Homo_sapiens, Loxodonta_africana, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Macropus_parma, Mandrillus_leucophaeus, Mandrillus_sphinx, Meleagris_gallopavo, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Mus_musculus, Myodes_glareolus, Myotis_ricketti, Myotis_velifer, Oligoryzomys_microtis, Oryctolagus_cuniculus, Ovis_aries, Pan_troglodytes, Papio_cynocephalus, Phascolarctos_cinereus, Phoca_groenlandica, Pongo_pygmaeus, Psittacula_krameri, Pteropus_capistratus, Rangifer_tarandus, Rattus_norvegicus, Rattus_rattus, Rhinolophus_ferrumequinum, Saimiri_boliviensis, Spheniscus_demersus, Sus_bucculentus, Testudo_hermanni, Tupaia_splendidula, Tursiops_truncatus, Tylonycteris_robustula, Vombatus_ursinus, Zalophus_californianus
2	Archelosauria	254	240 - 268	10	Amazona_oratrix, Anas_acuta, Chelonia_mydas, Columba_livia, Falco_mexicanus, Gallus_gallus, Meleagris_gallopavo, Psittacula_krameri, Spheniscus_demersus, Testudo_hermanni
3	Neognathae	98	92 - 104	8	Amazona_oratrix, Anas_acuta, Columba_livia, Falco_mexicanus, Gallus_gallus, Meleagris_gallopavo, Psittacula_krameri, Spheniscus_demersus
4	Galloanserae	80	74 - 86	3	Anas_acuta, Gallus_gallus, Meleagris_gallopavo
5	unknown	37	28 - 39	2	Gallus_gallus, Meleagris_gallopavo
6	unknown	83	77 - 90	5	Amazona_oratrix, Columba_livia, Falco_mexicanus, Psittacula_krameri, Spheniscus_demersus
7	unknown	38	30 - 50	2	Amazona_oratrix, Psittacula_krameri
8	unknown	82	71 - 91	3	Columba_livia, Falco_mexicanus, Spheniscus_demersus
9	unknown	81	72 - 88	2	Falco_mexicanus, Spheniscus_demersus
10	Durocryptodira	101	78 - 124	2	Chelonia_mydas, Testudo_hermanni
11	Theria	159	150 - 167	57	Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Bos_taurus, Bubalus_bubalis, Callithrix_jacchus, Canis_lupus, Cavia_porcellus, Cervus_elaphus, Chlorocebus_aethiops, Colobus_guereza, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Elephas_maximus, Eptesicus_fuscus, Equus_caballus, Erythrocebus_patas, Felis_catus, Gorilla_gorilla, Homo_sapiens, Loxodonta_africana, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Macropus_parma, Mandrillus_leucophaeus, Mandrillus_sphinx, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Mus_musculus, Myodes_glareolus, Myotis_ricketti, Myotis_velifer, Oligoryzomys_microtis, Oryctolagus_cuniculus, Ovis_aries, Pan_troglodytes, Papio_cynocephalus, Phascolarctos_cinereus, Phoca_groenlandica, Pongo_pygmaeus, Pteropus_capistratus, Rangifer_tarandus, Rattus_norvegicus, Rattus_rattus, Rhinolophus_ferrumequinum, Saimiri_boliviensis, Sus_bucculentus, Tupaia_splendidula, Tursiops_truncatus, Tylonycteris_robustula, Vombatus_ursinus, Zalophus_californianus
12	Diprotodontia	49	45 - 53	3	Macropus_parma, Phascolarctos_cinereus, Vombatus_ursinus
13	unknown	35	31 - 40	2	Phascolarctos_cinereus, Vombatus_ursinus
