regime	CO	IS	HS	LO
1	1	12	31	22
2	4	11	29	14
3	4	11	29	14
4	4	11	29	14
5	5	16	23	21
6	6	13	25	17
7	4	13	27	15
8	4	13	27	15
9	5	16	23	22
10	6	15	23	19
11	5	14	25	17
12	4	13	27	15
13	4	17	23	23
14	6	15	23	19
15	6	15	23	19
16	5	14	25	17
17	7	12	25	19
18	7	12	25	17
19	7	12	25	17
20	5	11	28	15
21	7	14	23	19
22	7	12	25	17
23	7	12	25	17
24	6	12	26	16
25	7	14	23	19
26	7	14	23	19
27	7	13	24	18
28	7	12	25	17
29	7	14	23	19
30	7	14	23	19
31	7	14	23	19
32	7	13	24	18
33	7	12	25	19
34	7	12	25	17
35	7	12	25	17
36	7	12	25	17
37	7	14	23	20
38	7	12	25	17
39	7	12	25	17
40	7	12	25	17
41	7	14	23	19
42	7	14	23	19
43	7	12	25	17
44	7	12	25	17
45	7	14	23	20
46	7	14	23	19
47	7	14	23	19
48	7	12	25	17
49	7	12	25	19
50	7	12	25	17
51	7	12	25	17
52	7	12	25	17
53	7	14	23	19
54	7	13	24	18
55	7	12	25	17
56	7	12	25	17
57	7	14	23	19
58	7	14	23	19
59	7	12	25	17
60	7	12	25	17
61	7	14	23	19
62	7	14	23	19
63	7	14	23	19
64	7	12	25	17
65	0	15	29	25
66	0	11	33	18
67	0	11	33	18
68	4	11	29	14
69	0	21	23	32
70	0	15	29	19
71	3	14	27	15
72	4	13	27	14
73	0	21	23	30
74	3	16	25	17
75	4	13	27	14
76	4	13	27	14
77	0	21	23	31
78	4	17	23	21
79	3	16	25	18
80	4	14	26	16
81	2	12	30	20
82	4	11	29	14
83	4	11	29	14
84	4	11	29	14
85	5	16	23	20
86	6	13	25	17
87	4	13	27	15
88	4	13	27	15
89	5	16	23	20
90	6	15	23	19
91	6	14	24	18
92	4	13	27	15
93	4	17	23	22
94	6	15	23	19
95	6	15	23	19
96	5	14	25	17
97	7	12	25	19
98	7	12	25	17
99	6	12	26	16
100	5	11	28	15
101	7	14	23	20
102	7	13	24	18
103	7	12	25	17
104	6	12	26	16
105	7	14	23	19
106	7	14	23	19
107	7	12	25	17
108	7	12	25	17
109	7	14	23	20
110	7	14	23	19
111	7	14	23	19
112	7	12	25	17
113	7	12	25	19
114	7	12	25	17
115	7	12	25	17
116	7	12	25	17
117	7	14	23	19
118	7	13	24	18
119	7	12	25	17
120	7	12	25	17
121	7	14	23	20
122	7	14	23	19
123	7	13	24	18
124	7	12	25	17
125	7	14	23	19
126	7	14	23	19
127	7	14	23	19
128	7	12	25	17
129	0	13	31	21
130	0	11	33	19
131	0	11	33	19
132	0	11	33	18
133	0	21	23	32
134	0	16	28	20
135	0	15	29	19
136	1	14	29	17
137	0	21	23	30
138	0	19	25	23
139	0	14	30	18
140	3	14	27	15
141	0	21	23	31
142	0	21	23	29
143	3	16	25	17
144	3	15	26	16
145	0	14	30	22
146	0	11	33	19
147	1	11	32	17
148	4	11	29	14
149	0	21	23	31
150	0	14	30	18
151	4	13	27	14
152	4	13	27	14
153	0	21	23	30
154	3	16	25	17
155	3	14	27	15
156	4	13	27	14
157	0	21	23	31
158	4	17	23	21
159	4	15	25	17
160	4	13	27	15
161	1	12	31	20
162	4	11	29	14
163	4	11	29	14
164	4	11	29	14
165	4	17	23	22
166	5	13	26	16
167	4	13	27	15
168	4	13	27	15
169	5	16	23	21
170	6	15	23	19
171	6	13	25	17
172	4	13	27	15
173	6	15	23	19
174	6	15	23	19
175	6	15	23	19
176	5	14	25	17
177	7	12	25	19
178	7	12	25	17
179	7	12	25	17
180	5	11	28	15
181	7	14	23	19
182	7	12	25	17
183	7	12	25	17
184	7	12	25	17
185	7	14	23	20
186	7	14	23	19
187	7	12	25	17
188	7	12	25	17
189	7	14	23	19
190	7	14	23	19
191	7	14	23	19
192	7	12	25	17
193	0	12	32	21
194	0	11	33	20
195	0	12	32	21
196	0	11	33	19
197	0	21	23	30
198	0	15	29	19
199	0	15	29	19
200	0	15	29	19
201	0	21	23	31
202	0	19	25	23
203	0	15	29	19
204	0	14	30	18
205	0	21	23	31
206	0	21	23	29
207	0	19	25	23
208	0	14	30	18
209	0	13	31	22
210	0	12	32	19
211	0	12	32	19
212	0	11	33	18
213	0	21	23	30
214	0	15	29	19
215	0	15	29	19
216	0	14	30	18
217	0	21	23	32
218	0	19	25	23
219	0	15	29	19
220	3	14	27	15
221	0	21	23	32
222	0	21	23	29
223	3	16	25	17
224	3	14	27	15
225	0	14	30	23
226	0	11	33	19
227	1	11	32	17
228	4	11	29	14
229	0	21	23	31
230	0	14	30	18
231	4	13	27	14
232	4	13	27	14
233	0	21	23	31
234	3	16	25	17
235	4	13	27	14
236	4	13	27	14
237	0	21	23	32
238	4	17	23	21
239	4	15	25	17
240	4	14	26	16
241	1	12	31	20
242	4	11	29	14
243	4	11	29	14
244	4	11	29	14
245	6	15	23	19
246	6	14	24	18
247	4	13	27	15
248	4	13	27	15
249	5	16	23	20
250	6	15	23	19
251	6	13	25	17
252	4	13	27	15
253	5	16	23	21
254	6	15	23	19
255	6	15	23	19
256	6	13	25	17
