cost_regime	event_id	event_type	time_zone
001	88:18-2..18-17	Host Switch	23
001	52:53-45..53-52	Host Switch	52
001	55:24-Fca..24-Clu	Host Switch	52
001	60:25-Eca	Duplication	62
001	61:25-Eca	Duplication	61
001	62:25-Eca	Duplication	54
001	63:25-Eca..24-Fca	Host Switch	48
001	69:30-Cer	Duplication	62
001	72:33-Bbu..33-Bta	Host Switch	62
001	76:33-Bta	Duplication	62
001	77:33-Bta	Duplication	62
001	78:33-Bbu..33-Bta	Host Switch	61
001	79:30-Cer..33-Bbu	Host Switch	61
001	80:30-Rta..30-Cer	Host Switch	59
001	81:35-Dle..35-34	Host Switch	49
001	82:36-Sus..35-Dle	Host Switch	48
001	83:25-Eca..36-Sus	Host Switch	45
001	84:25-Eca..55-54	Host Switch	42
001	85:15-Cli..25-Eca	Host Switch	40
001	86:15-Cli..57-Mac	Host Switch	39
001	49:15-Cli..14-Sph	Host Switch	43
001	48:15-Cli..7-Ana	Host Switch	46
001	87:17	Cospeciation	28
001	46:6-Mga..6-Gga	Host Switch	53
001	47:15-Cli..7-6	Host Switch	49
001	3:2-Cmy	Duplication	62
001	4:2-The..2-Cmy	Host Switch	29
001	9:10-Aor	Duplication	54
001	10:7-6..16-10	Host Switch	46
001	11:7-6..16-10	Host Switch	42
001	19:38-Pte	Duplication	62
001	20:57-Mac..38-Pte	Host Switch	54
001	24:45-Ptr..45-Hsa	Host Switch	62
001	14:54-42	Duplication	53
001	30:51-Pap	Duplication	62
001	31:48-Cae..51-Pap	Host Switch	62
001	32:52-48..51-Mmt	Host Switch	61
001	45:6-Gga	Duplication	59
001	33:53-45..53-52	Host Switch	54
001	34:57-Mac..53-45	Host Switch	52
001	35:57-Mac..55-Ocu	Host Switch	49
001	36:57-Mac..55-54	Host Switch	48
001	41:15-Cli..14-Fme	Host Switch	62
001	25:45-Ptr..45-Hsa	Host Switch	61
002	76:33-Bta	Duplication	62
002	72:33-Bbu..33-Bta	Host Switch	62
002	69:30-Cer	Duplication	62
002	60:25-Eca	Duplication	62
002	62:25-Eca	Duplication	54
002	61:25-Eca	Duplication	61
002	77:33-Bta	Duplication	62
002	63:25-Eca..24-Fca	Host Switch	48
002	78:33-Bbu..33-Bta	Host Switch	61
002	88:18-2..57-Mac	Host Switch	23
002	80:30	Cospeciation	55
002	81:35-Dle..35-34	Host Switch	49
002	82:36-Sus..35-Dle	Host Switch	48
002	83:25-Eca..36-Sus	Host Switch	45
002	84:25-Eca..55-54	Host Switch	42
002	85:7-Ana..25-Eca	Host Switch	40
002	86:57-Mac..7-Ana	Host Switch	39
002	87:57-Mac..17-7	Host Switch	28
002	55:24-Fca..24-Clu	Host Switch	52
002	79:30-Cer..33-Bbu	Host Switch	61
002	52:53	Cospeciation	51
002	32:48-Cae..51-Mmt	Host Switch	61
002	48:7-Ana..7-6	Host Switch	46
002	3:2-Cmy	Duplication	62
002	9:10-Aor	Duplication	54
002	10:7-6..16-10	Host Switch	46
002	11:7-6..16-10	Host Switch	42
002	14:42-Ate..42-Sai	Host Switch	54
002	19:38-Pte	Duplication	62
002	20:57-Mac..38-Pte	Host Switch	54
002	24:45-Ptr..45-Hsa	Host Switch	62
002	49:7-Ana..14-Sph	Host Switch	43
002	25:45	Cospeciation	61
002	31:48-Cae..51-Pap	Host Switch	62
002	33:53-45..53-52	Host Switch	54
002	34:57-Mac..53-45	Host Switch	52
002	35:57-Mac..55-Ocu	Host Switch	49
