# Results for NC_028099 (FcaGHV1)
NC_028099-p0017.forward.frame1	PF01366	2e-191_2.8e-187	-
NC_028099-p0024.forward.frame1	PF04797	7.6e-38_1e-33	-
NC_028099-p0028.forward.frame1	PF00693	7e-26_2.6e-22	79
NC_028099-p0028.forward.frame1	PF08465	2.3e-15_1.2e-12	-
NC_028099-p0028.forward.frame1	PF01712	1.6e-12_2.3e-09	181
NC_028099-p0033.forward.frame1	PF03122	0_0	2
NC_028099-p0044.forward.frame1	PF04559	1.1e-52_2.9e-49	-
NC_028099-p0049.forward.frame1	PF02689	0_0	2
NC_028099-p0053.forward.frame1	PF03326	3.7e-50_3.2e-46	-
NC_028099-p0062.forward.frame1	PF01733	1.4e-51_4.8e-50	-
NC_028099-p0074.forward.frame1	PF01673	9.7e-18_1.7e-42	-
NC_028099-p0074.forward.frame1	PF01673	4.2e-33_1.7e-42	-
NC_028099-p0079.forward.frame1	PF01391	3.5e-11_4.4e-07	286
NC_028099-p0081.forward.frame1	PF00001	6e-13_1e-08	263
NC_028099-p0103.forward.frame2	PF00747	0_0	2
NC_028099-p0116.forward.frame2	PF02489	9.5e-95_5.9e-91	23
NC_028099-p0116.forward.frame2	PF17488	1.6e-49_6e-46	22
NC_028099-p0126.forward.frame2	PF03048	2e-68_2.9e-64	-
NC_028099-p0127.forward.frame2	PF03044	1.5e-88_2.1e-84	-
NC_028099-p0128.forward.frame2	PF03038	5.5e-101_7.8e-97	-
NC_028099-p0130.forward.frame2	PF10813	3.8e-12_5e-08	-
NC_028099-p0132.forward.frame2	PF03324	1.2e-24_8.2e-21	-
NC_028099-p0133.forward.frame2	PF05774	6.3e-22_7.6e-18	-
NC_028099-p0141.forward.frame2	PF03121	5.3e-25_8.9e-21	-
NC_028099-p0151.forward.frame2	PF04843	2.4e-50_1.6e-46	-
NC_028099-p0154.forward.frame2	PF02718	5.9e-86_8.1e-82	52
NC_028099-p0179.forward.frame3	PF00606	1.6e-99_4.1e-96	43
NC_028099-p0179.forward.frame3	PF17416	1e-72_5.6e-69	38
NC_028099-p0179.forward.frame3	PF17417	4.9e-32_1.9e-28	38
NC_028099-p0180.forward.frame3	PF00136	3.3e-159_1.9e-155	234
NC_028099-p0180.forward.frame3	PF03104	8.8e-83_4.3e-79	264
NC_028099-p0189.forward.frame3	PF03049	1.8e-99_2.7e-95	-
NC_028099-p0194.forward.frame3	PF01802	6.4e-97_9.4e-93	-
NC_028099-p0201.forward.frame3	PF05338	1.1e-19_1.3e-15	-
