# Results for NC_006150 (McHV3)
NC_006150-p0037.forward.frame1	PF17604	7.6e-26_1.1e-21	-
NC_006150-p0038.forward.frame1	PF17582	9e-38_1.1e-33	-
NC_006150-p0045.forward.frame1	PF04637	1.4e-29_1.7e-25	2
NC_006150-p0055.forward.frame1	PF04489	1.5e-136_2e-132	-
NC_006150-p0089.forward.frame1	PF04843	5.4e-39_2.9e-35	-
NC_006150-p0099.forward.frame1	PF02718	2e-88_2.7e-84	52
NC_006150-p0133.forward.frame1	PF03554	1.2e-27_9.6e-24	-
NC_006150-p0133.forward.frame1	PF05702	6.3e-09_2.6e-05	-
NC_006150-p0174.forward.frame1	PF03043	4.2e-201_2.9e-197	-
NC_006150-p0174.forward.frame1	PF04532	1.2e-90_4.4e-87	-
NC_006150-p0175.forward.frame1	PF04529	4.4e-166_6.4e-162	-
NC_006150-p0177.forward.frame1	PF17442	9.7e-33_1.3e-28	-
NC_006150-p0182.forward.frame1	PF03044	9.3e-81_1.4e-76	-
NC_006150-p0184.forward.frame1	PF03038	4.8e-120_6.8e-116	-
NC_006150-p0194.forward.frame1	PF03324	5e-14_3.6e-10	-
NC_006150-p0210.forward.frame1	PF03064	2.4e-39_2.2e-35	-
NC_006150-p0239.forward.frame1	PF00048	7.1e-09_6.1e-05	380
NC_006150-p0243.forward.frame1	PF11668	3.4e-15_5.3e-11	-
NC_006150-p0315.forward.frame1	PF00001	9.7e-11_4.2e-07	263
NC_006150-p0316.forward.frame1	PF00001	2.1e-20_1.1e-17	263
NC_006150-p0316.forward.frame1	PF10320	1.2e-09_5.8e-06	-
NC_006150-p0317.forward.frame1	PF00001	6.2e-38_5.2e-34	263
NC_006150-p0317.forward.frame1	PF10320	6.4e-10_5.4e-06	-
NC_006150-p0426.forward.frame2	PF04523	8.7e-121_1.1e-116	-
NC_006150-p0497.forward.frame2	PF01646	1.6e-51_2e-47	-
NC_006150-p0540.forward.frame2	PF03048	4.6e-68_6.5e-64	-
NC_006150-p0552.forward.frame2	PF01771	1.9e-144_2.7e-140	6
NC_006150-p0671.forward.frame2	PF00001	6.7e-13_2.9e-10	263
NC_006150-p0672.forward.frame2	PF00001	3.9e-20_8.3e-18	263
NC_006150-p0672.forward.frame2	PF10320	5.7e-09_3.3e-06	-
NC_006150-p0719.forward.frame3	PF16758	1.9e-35_1.8e-31	4
NC_006150-p0744.forward.frame3	PF00001	2.5e-31_8.7e-28	263
NC_006150-p0746.forward.frame3	PF04637	2.6e-139_3.5e-135	2
NC_006150-p0785.forward.frame3	PF01673	1.4e-54_2.3e-134	-
NC_006150-p0785.forward.frame3	PF01673	3.7e-81_2.3e-134	-
NC_006150-p0822.forward.frame3	PF04533	1.2e-16_1.6e-12	-
NC_006150-p0832.forward.frame3	PF01499	4.7e-149_6.3e-145	1
NC_006150-p0837.forward.frame3	PF00716	7.1e-91_1.2e-86	59
NC_006150-p0867.forward.frame3	PF04559	6.4e-112_9.2e-108	-
NC_006150-p0872.forward.frame3	PF10867	1.2e-26_1.3e-22	-
NC_006150-p0873.forward.frame3	PF06734	3e-82_4.9e-78	-
NC_006150-p0891.forward.frame3	PF02689	0_0	2
NC_006150-p0921.forward.frame3	PF11359	1e-27_2.4e-25	-
NC_006150-p1026.reverse.frame1	PF02393	6.5e-21_3.8e-26	-
NC_006150-p1053.reverse.frame1	PF02393	5.2e-21_4.5e-38	-
NC_006150-p1053.reverse.frame1	PF02393	1.5e-22_4.5e-38	-
NC_006150-p1067.reverse.frame1	PF08001	1.5e-09_7.8e-06	-
NC_006150-p1074.reverse.frame1	PF05963	1.6e-10_2.1e-06	4
NC_006150-p1094.reverse.frame1	PF16758	3.2e-62_3.7e-58	4
NC_006150-p1109.reverse.frame1	PF03361	9.2e-53_8.5e-49	-
NC_006150-p1133.reverse.frame1	PF01677	5.4e-42_7.4e-38	-
NC_006150-p1175.reverse.frame1	PF06284	4.7e-17_3.6e-146	-
NC_006150-p1175.reverse.frame1	PF06284	7.4e-135_3.6e-146	-
NC_006150-p1175.reverse.frame1	PF06501	7.6e-12_4.2e-08	-
NC_006150-p1179.reverse.frame1	PF05784	1.5e-77_1.9e-73	4
NC_006150-p1180.reverse.frame1	PF05784	8.7e-84_1.1e-79	4
NC_006150-p1196.reverse.frame1	PF00692	3.2e-12_1.7e-08	409
NC_006150-p1196.reverse.frame1	PF04797	1.5e-09_2.3e-06	-
NC_006150-p1235.reverse.frame1	PF03117	2.9e-98_3.5e-94	-
NC_006150-p1251.reverse.frame1	PF03327	3.6e-55_4.9e-51	-
NC_006150-p1252.reverse.frame1	PF02867	1.5e-35_4.7e-32	154
NC_006150-p1253.reverse.frame1	PF03325	9.1e-103_1.1e-119	2
NC_006150-p1253.reverse.frame1	PF03325	6.3e-25_1.1e-119	2
NC_006150-p1254.reverse.frame1	PF02393	1.1e-17_4.9e-23	-
NC_006150-p1283.reverse.frame1	PF02393	4.2e-17_2.8e-13	-
NC_006150-p1286.reverse.frame1	PF02393	2.3e-25_7.7e-37	-
NC_006150-p1286.reverse.frame1	PF02393	7e-18_7.7e-37	-
NC_006150-p1290.reverse.frame1	PF17636	9.8e-17_8.4e-13	-
NC_006150-p1360.reverse.frame2	PF02393	7.4e-17_1e-36	-
NC_006150-p1360.reverse.frame2	PF02393	2.8e-26_1e-36	-
NC_006150-p1366.reverse.frame2	PF01027	5e-15_6.3e-11	6
NC_006150-p1376.reverse.frame2	PF01027	4e-15_5.3e-11	6
NC_006150-p1409.reverse.frame2	PF11770	5.5e-09_9e-05	-
NC_006150-p1425.reverse.frame2	PF07340	1.1e-32_1.4e-28	9
NC_006150-p1433.reverse.frame2	PF03361	2.5e-42_2.8e-38	-
NC_006150-p1436.reverse.frame2	PF01801	3.1e-64_3.7e-60	-
NC_006150-p1482.reverse.frame2	PF02500	8.7e-88_2.1e-84	2
NC_006150-p1488.reverse.frame2	PF02499	5e-162_7.2e-158	12
NC_006150-p1507.reverse.frame2	PF05784	1.9e-90_2.4e-86	4
NC_006150-p1538.reverse.frame2	PF05459	7e-65_8e-61	8
NC_006150-p1549.reverse.frame2	PF01366	3.1e-230_4.4e-226	-
NC_006150-p1563.reverse.frame2	PF03581	6.8e-32_8.2e-28	-
NC_006150-p1569.reverse.frame2	PF17086	3e-30_4.1e-26	-
NC_006150-p1592.reverse.frame2	PF17638	5.7e-21_2.7e-17	-
NC_006150-p1598.reverse.frame2	PF07413	1.1e-31_1.4e-27	-
NC_006150-p1599.reverse.frame2	PF02393	1.2e-14_3.3e-22	-
NC_006150-p1599.reverse.frame2	PF02393	2e-13_3.3e-22	-
NC_006150-p1610.reverse.frame2	PF02393	1.6e-18_2.7e-28	-
NC_006150-p1610.reverse.frame2	PF02393	3.5e-15_2.7e-28	-
NC_006150-p1652.reverse.frame2	PF03098	3.8e-34_5.4e-30	347
NC_006150-p1687.reverse.frame3	PF02393	7.7e-23_3.2e-43	-
NC_006150-p1687.reverse.frame3	PF02393	6.3e-26_3.2e-43	-
NC_006150-p1688.reverse.frame3	PF02393	1.1e-18_1.8e-33	-
NC_006150-p1688.reverse.frame3	PF02393	5.4e-21_1.8e-33	-
NC_006150-p1690.reverse.frame3	PF01027	4.3e-26_6.3e-22	6
NC_006150-p1695.reverse.frame3	PF01027	9e-13_9.7e-09	6
NC_006150-p1709.reverse.frame3	PF05963	1.9e-18_2.5e-14	4
NC_006150-p1754.reverse.frame3	PF10838	2.3e-12_8.8e-09	-
NC_006150-p1760.reverse.frame3	PF03167	4.9e-21_5.7e-17	146
NC_006150-p1776.reverse.frame3	PF01763	1.4e-169_2e-165	-
NC_006150-p1782.reverse.frame3	PF01528	1.4e-97_2.1e-93	-
NC_006150-p1811.reverse.frame3	PF03122	0_0	2
NC_006150-p1812.reverse.frame3	PF01802	2.4e-89_3.6e-85	-
NC_006150-p1832.reverse.frame3	PF03049	2.8e-53_3.7e-49	-
NC_006150-p1839.reverse.frame3	PF02489	1.3e-73_8.4e-70	23
NC_006150-p1839.reverse.frame3	PF17488	2.1e-39_1.8e-35	22
