# Results for NC_003521 (PnHV2)
NC_003521-p0014.forward.frame1	PF06084	3.2e-82_3.8e-78	-
NC_003521-p0036.forward.frame1	PF17622	3.1e-76_4.1e-72	2
NC_003521-p0045.forward.frame1	PF04637	3.1e-37_3.3e-33	2
NC_003521-p0056.forward.frame1	PF04489	1.6e-182_2.2e-178	-
NC_003521-p0122.forward.frame1	PF01673	1.8e-54_4.4e-141	-
NC_003521-p0122.forward.frame1	PF01673	4e-93_4.4e-141	-
NC_003521-p0186.forward.frame1	PF01499	1.3e-155_1.6e-151	1
NC_003521-p0214.forward.frame1	PF03043	9.9e-210_6.3e-206	-
NC_003521-p0214.forward.frame1	PF04532	1.4e-97_1.2e-93	-
NC_003521-p0219.forward.frame1	PF17442	1.3e-33_1.2e-29	-
NC_003521-p0221.forward.frame1	PF04559	9.8e-134_1.4e-129	-
NC_003521-p0229.forward.frame1	PF10867	4.7e-35_5e-31	-
NC_003521-p0236.forward.frame1	PF01771	4.2e-166_6e-162	6
NC_003521-p0241.forward.frame1	PF03324	1.7e-12_1.1e-08	-
NC_003521-p0342.forward.frame1	PF02393	1.2e-34_4.7e-40	-
NC_003521-p0396.forward.frame1	PF00001	1.8e-32_7e-30	263
NC_003521-p0460.forward.frame2	PF16758	1.4e-91_1.6e-87	4
NC_003521-p0463.forward.frame2	PF17640	2.7e-16_4.5e-12	-
NC_003521-p0464.forward.frame2	PF17604	1.1e-47_1.4e-43	-
NC_003521-p0542.forward.frame2	PF04843	4e-37_3.5e-33	-
NC_003521-p0553.forward.frame2	PF02718	1.1e-90_1.3e-86	52
NC_003521-p0666.forward.frame2	PF03044	2.1e-89_3e-85	-
NC_003521-p0668.forward.frame2	PF03038	1.6e-128_2.1e-124	-
NC_003521-p0730.forward.frame2	PF17609	9.6e-25_1.6e-20	-
NC_003521-p0894.forward.frame3	PF00129	2.7e-13_8.5e-10	1184
NC_003521-p0895.forward.frame3	PF17582	2.2e-72_3.4e-69	-
NC_003521-p0928.forward.frame3	PF00001	8.8e-29_5.6e-25	263
NC_003521-p0931.forward.frame3	PF04637	1.9e-214_2.6e-210	2
NC_003521-p0956.forward.frame3	PF04523	2e-154_2.7e-150	-
NC_003521-p1020.forward.frame3	PF04533	7.6e-15_8.2e-11	-
NC_003521-p1023.forward.frame3	PF03554	9.9e-21_1.7e-17	-
NC_003521-p1030.forward.frame3	PF01646	5.6e-52_7.2e-48	-
NC_003521-p1039.forward.frame3	PF00716	3.3e-105_5.5e-101	59
NC_003521-p1066.forward.frame3	PF04529	2e-173_2.7e-169	-
NC_003521-p1071.forward.frame3	PF03048	2e-70_2.9e-66	-
NC_003521-p1081.forward.frame3	PF06734	7.5e-94_8e-90	-
NC_003521-p1099.forward.frame3	PF02689	0_0	2
NC_003521-p1110.forward.frame3	PF03064	1.4e-67_9.2e-64	-
NC_003521-p1240.forward.frame3	PF00001	2.8e-45_9.3e-42	263
NC_003521-p1240.forward.frame3	PF10320	3.7e-13_2.4e-09	-
NC_003521-p1244.forward.frame3	PF17624	1.1e-71_9.8e-68	-
NC_003521-p1250.forward.frame3	PF17087	7.1e-22_1.1e-17	-
NC_003521-p1281.reverse.frame1	PF02393	9.5e-28_5.1e-46	-
NC_003521-p1281.reverse.frame1	PF02393	7.6e-24_5.1e-46	-
NC_003521-p1283.reverse.frame1	PF02393	2.5e-20_2.8e-36	-
NC_003521-p1283.reverse.frame1	PF02393	8.4e-22_2.8e-36	-
NC_003521-p1284.reverse.frame1	PF02393	9.9e-21_4.2e-44	-
NC_003521-p1284.reverse.frame1	PF02393	1.1e-30_4.2e-44	-
NC_003521-p1295.reverse.frame1	PF01027	3e-15_3.3e-11	6
NC_003521-p1302.reverse.frame1	PF17617	1.4e-42_1.6e-38	-
NC_003521-p1303.reverse.frame1	PF08001	3.6e-56_2.6e-52	-
NC_003521-p1370.reverse.frame1	PF07340	2.5e-28_3.4e-24	9
NC_003521-p1371.reverse.frame1	PF07340	2.2e-166_2.7e-162	9
NC_003521-p1374.reverse.frame1	PF10838	4.7e-49_4.5e-45	-
NC_003521-p1382.reverse.frame1	PF03167	3.1e-21_3.7e-17	146
NC_003521-p1398.reverse.frame1	PF01763	1e-176_1.4e-172	-
NC_003521-p1440.reverse.frame1	PF02499	5.2e-161_7.1e-157	12
NC_003521-p1454.reverse.frame1	PF06284	7.5e-211_6.5e-239	-
NC_003521-p1454.reverse.frame1	PF06284	1.7e-37_6.5e-239	-
NC_003521-p1518.reverse.frame1	PF00747	0_0	2
NC_003521-p1524.reverse.frame1	PF00606	5.5e-97_1.9e-93	43
NC_003521-p1524.reverse.frame1	PF17416	1.8e-74_1e-70	38
NC_003521-p1524.reverse.frame1	PF17417	1.3e-34_7.1e-31	38
NC_003521-p1541.reverse.frame1	PF04541	1.9e-73_2.3e-69	50
NC_003521-p1565.reverse.frame1	PF03327	1.2e-62_1.6e-58	-
NC_003521-p1566.reverse.frame1	PF02867	6.8e-28_8.4e-24	154
NC_003521-p1580.reverse.frame1	PF07413	2.1e-61_3e-57	-
NC_003521-p1595.reverse.frame1	PF06070	3.4e-176_5.6e-173	-
NC_003521-p1624.reverse.frame1	PF17636	1.9e-47_2.4e-43	-
NC_003521-p1646.reverse.frame1	PF08196	2.8e-25_3.7e-21	-
NC_003521-p1714.reverse.frame2	PF01027	5.4e-28_7.2e-24	6
NC_003521-p1715.reverse.frame2	PF01027	3e-24_4.1e-20	6
NC_003521-p1736.reverse.frame2	PF08001	5.3e-44_4.5e-40	-
NC_003521-p1740.reverse.frame2	PF17616	3.6e-36_4.8e-32	-
NC_003521-p1744.reverse.frame2	PF05963	6.5e-50_7.5e-46	4
NC_003521-p1781.reverse.frame2	PF11359	5.3e-68_7e-64	-
NC_003521-p1783.reverse.frame2	PF11668	1.9e-85_2.4e-81	-
NC_003521-p1798.reverse.frame2	PF03361	1.3e-53_1.1e-49	-
NC_003521-p1831.reverse.frame2	PF01677	2.8e-52_3.7e-48	-
NC_003521-p1853.reverse.frame2	PF02500	6.3e-93_5.4e-89	2
NC_003521-p1870.reverse.frame2	PF03122	0_0	2
NC_003521-p1877.reverse.frame2	PF05784	1.6e-148_2.3e-144	4
NC_003521-p1878.reverse.frame2	PF05784	3.1e-120_4.1e-116	4
NC_003521-p1882.reverse.frame2	PF03049	3.4e-52_4.4e-48	-
NC_003521-p1893.reverse.frame2	PF07982	1.2e-113_1.4e-110	-
NC_003521-p1902.reverse.frame2	PF05459	4.3e-73_5.3e-69	8
NC_003521-p1958.reverse.frame2	PF03581	1.7e-31_2.3e-27	-
NC_003521-p1960.reverse.frame2	PF03117	3.6e-101_4.4e-97	-
NC_003521-p1990.reverse.frame2	PF03325	1.5e-165_2e-161	2
NC_003521-p1991.reverse.frame2	PF02393	9.1e-21_1.2e-26	-
NC_003521-p1992.reverse.frame2	PF17638	1.1e-50_7.2e-49	-
NC_003521-p1994.reverse.frame2	PF10682	1.2e-55_1.2e-51	3
