# Results for NC_002577 (GaHV3)
NC_002577-p0037.forward.frame1	PF01677	9.2e-54_1.3e-49	-
NC_002577-p0076.forward.frame1	PF01646	3.8e-57_4.6e-53	-
NC_002577-p0077.forward.frame1	PF01499	1e-156_1.4e-152	1
NC_002577-p0094.forward.frame1	PF00136	1.5e-171_6.8e-168	234
NC_002577-p0094.forward.frame1	PF03104	1.7e-76_3.9e-74	264
NC_002577-p0094.forward.frame1	PF11590	6.1e-12_4.5e-09	4
NC_002577-p0100.forward.frame1	PF03581	2.1e-32_2.5e-28	-
NC_002577-p0138.forward.frame1	PF05072	3.7e-61_4.8e-57	-
NC_002577-p0162.forward.frame1	PF00692	3.3e-24_6.4e-23	409
NC_002577-p0166.forward.frame1	PF03121	4.3e-25_2.8e-21	-
NC_002577-p0167.forward.frame1	PF04537	3.1e-47_4.1e-43	-
NC_002577-p0224.forward.frame1	PF02479	9.4e-38_1.2e-33	-
NC_002577-p0230.forward.frame1	PF00069	1.5e-44_9.8e-41	4062
NC_002577-p0230.forward.frame1	PF07714	7.9e-25_4.5e-21	1877
NC_002577-p0231.forward.frame1	PF01537	2e-38_2.3e-34	18
NC_002577-p0232.forward.frame1	PF01688	4.4e-42_4.4e-38	-
NC_002577-p0233.forward.frame1	PF02480	3.9e-95_5.2e-91	4
NC_002577-p0276.forward.frame2	PF04846	4e-17_5.3e-13	-
NC_002577-p0282.forward.frame2	PF05259	1.4e-22_8.2e-19	4
NC_002577-p0282.forward.frame2	PF12524	1.6e-21_9.1e-18	1
NC_002577-p0284.forward.frame2	PF03369	1.2e-75_1.6e-71	-
NC_002577-p0304.forward.frame2	PF01528	9.8e-129_1.2e-124	-
NC_002577-p0330.forward.frame2	PF03252	2.9e-158_4e-154	2
NC_002577-p0373.forward.frame2	PF04541	5.8e-56_7.1e-52	50
NC_002577-p0404.forward.frame2	PF03327	3.9e-73_4.6e-69	-
NC_002577-p0408.forward.frame2	PF00268	4.2e-63_5.3e-59	215
NC_002577-p0420.forward.frame2	PF05473	2.2e-68_3.2e-64	-
NC_002577-p0444.forward.frame2	PF05459	9.1e-56_7.4e-52	8
NC_002577-p0563.forward.frame3	PF07420	4e-92_4.1e-88	-
NC_002577-p0564.forward.frame3	PF03167	1.4e-25_1.5e-21	146
NC_002577-p0572.forward.frame3	PF01763	8.4e-202_1.2e-197	-
NC_002577-p0591.forward.frame3	PF02500	2.8e-115_3.8e-111	2
