branch	gain events	gained domains	loss events	lost domais	duplication events	duplicated domains
root → n2	59	PF00136 (DNA_pol_B); PF00268 (Ribonuc_red_sm); PF00317 (Ribonuc_red_lgN); PF00606 (Glycoprotein_B); PF00692 (dUTPase); PF00693 (Herpes_TK); PF00716 (Peptidase_S21); PF00747 (Viral_DNA_bp); PF00867 (XPG_I); PF01366 (PRTP); PF01499 (Herpes_UL25); PF01528 (Herpes_glycop); PF01621 (Fusion_gly_K); PF01646 (Herpes_UL24); PF01673 (Herpes_env); PF01677 (Herpes_UL7); PF01712 (dNK); PF01763 (Herpes_UL6); PF01771 (Viral_alk_exo); PF01802 (Herpes_V23); PF02124 (Marek_A); PF02399 (Herpes_ori_bp); PF02489 (Herpes_glycop_H); PF02499 (DNA_pack_C); PF02500 (DNA_pack_N); PF02689 (Herpes_Helicase); PF02718 (Herpes_UL31); PF02867 (Ribonuc_red_lgC); PF03038 (Herpes_UL95); PF03043 (Herpes_UL87); PF03044 (Herpes_UL16); PF03049 (Herpes_UL79); PF03104 (DNA_pol_B_exo1); PF03121 (Herpes_UL52); PF03122 (Herpes_MCP); PF03167 (UDG); PF03277 (Herpes_UL4); PF03324 (Herpes_HEPA); PF03327 (Herpes_VP19C); PF03369 (Herpes_UL3); PF03387 (Herpes_UL46); PF03554 (Herpes_UL73); PF03581 (Herpes_UL33); PF03586 (Herpes_UL36); PF03970 (Herpes_UL37_1); PF04523 (Herpes_U30); PF04533 (Herpes_U44); PF04540 (Herpes_UL51); PF04541 (Herpes_U34); PF04544 (Herpes_UL20); PF04559 (Herpes_UL17); PF04823 (Herpes_UL49_2); PF04843 (Herpes_teg_N); PF05459 (Herpes_UL69); PF07714 (Pkinase_Tyr); PF11094 (UL11); PF17416 (Glycoprot_B_PH1); PF17417 (Glycoprot_B_PH2); PF17488 (Herpes_glycoH_C)	0		1	PF01673 (Herpes_env)
n2 → n3	2	PF03048 (Herpes_UL92); PF03117 (Herpes_UL49_1)	13	PF00867 (XPG_I); PF01621 (Fusion_gly_K); PF02124 (Marek_A); PF03277 (Herpes_UL4); PF03369 (Herpes_UL3); PF03387 (Herpes_UL46); PF03586 (Herpes_UL36); PF03970 (Herpes_UL37_1); PF04540 (Herpes_UL51); PF04544 (Herpes_UL20); PF04823 (Herpes_UL49_2); PF07714 (Pkinase_Tyr); PF11094 (UL11)	0	
n2 → n86	9	PF00069 (Pkinase); PF01537 (Herpes_glycop_D); PF02053 (Gene66); PF02232 (Alpha_TIF); PF02480 (Herpes_gE); PF03252 (Herpes_UL21); PF03580 (Herpes_UL14); PF05259 (Herpes_UL1); PF05702 (Herpes_UL49_5)	6	PF01673 (Herpes_env); PF03038 (Herpes_UL95); PF03043 (Herpes_UL87); PF03049 (Herpes_UL79); PF04523 (Herpes_U30); PF04533 (Herpes_U44)	0	
n3 → n4	18	PF00452 (Bcl-2); PF02769 (AIRS_C); PF03326 (Herpes_TAF50); PF04633 (Herpes_BMRF2); PF04682 (Herpes_BTRF1); PF04793 (Herpes_BBRF1); PF04797 (Herpes_ORF11); PF04929 (Herpes_DNAp_acc); PF05734 (DUF832); PF05812 (Herpes_BLRF2); PF05852 (DUF848); PF06112 (Herpes_capsid); PF06861 (BALF1); PF08465 (Herpes_TK_C); PF10813 (DUF2733); PF11108 (Phage_glycop_gL); PF12818 (Tegument_dsDNA); PF13507 (GATase_5)	1	PF02399 (Herpes_ori_bp)	1	PF04797 (Herpes_ORF11)
n3 → n43	7	PF00001 (7tm_1); PF01801 (Cytomega_gL); PF04529 (Herpes_U59); PF04532 (DUF587); PF04637 (Herpes_pp85); PF06734 (UL97); PF10867 (DUF2664)	1	PF00317 (Ribonuc_red_lgN)	0	
n86 → n87	4	PF01688 (Herpes_gI); PF03362 (Herpes_UL47); PF03584 (Herpes_ICP4_N); PF05473 (UL45)	1	PF01712 (dNK)	1	PF03584 (Herpes_ICP4_N)
n86 → TeHV3	5	PF00059 (Lectin_C); PF00303 (Thymidylat_synt); PF00726 (IL10); PF01403 (Sema); PF04527 (Retinin_C)	0		3	PF00069 (Pkinase); PF00069 (Pkinase); PF07714 (Pkinase_Tyr)
n4 → n5	3	PF01335 (DED); PF05338 (DUF717); PF05774 (Herpes_heli_pri)	0		3	PF02769 (AIRS_C); PF12818 (Tegument_dsDNA); PF13507 (GATase_5)
n4 → n36	2	PF02905 (EBV-NA1); PF05109 (Herpes_BLLF1)	0		0	
n43 → n44	11	PF02393 (US22); PF03064 (U79_P34); PF03325 (Herpes_PAP); PF03361 (Herpes_IE2_3); PF04489 (DUF570); PF05784 (Herpes_UL82_83); PF05999 (Herpes_U5); PF06070 (Herpes_UL32); PF06501 (Herpes_U55); PF17086 (HV_small_capsid); PF17442 (U62_UL91)	3	PF00268 (Ribonuc_red_sm); PF00693 (Herpes_TK); PF01712 (dNK)	5	PF02393 (US22); PF02393 (US22); PF02393 (US22); PF03361 (Herpes_IE2_3); PF05784 (Herpes_UL82_83)
