# Results for NC_017826 (EHV8)
NC_017826-p0006.forward.frame1	PF07013	5.2e-25_6e-21	-
NC_017826-p0020.forward.frame1	PF04540	5.2e-68_6.1e-64	-
NC_017826-p0023.forward.frame1	PF05702	6.1e-35_3.3e-31	-
NC_017826-p0023.forward.frame1	PF03554	7.1e-09_3.4e-05	-
NC_017826-p0027.forward.frame1	PF02232	1.1e-119_1.4e-115	1
NC_017826-p0047.forward.frame1	PF00867	9.4e-11_7.8e-07	41
NC_017826-p0060.forward.frame1	PF03586	2e-71_1.7e-67	-
NC_017826-p0060.forward.frame1	PF04843	6.1e-32_2e-28	-
NC_017826-p0105.forward.frame1	PF04544	3.2e-41_4.5e-37	-
NC_017826-p0106.forward.frame1	PF03122	0_0	2
NC_017826-p0114.forward.frame1	PF03044	1.4e-72_1.9e-68	-
NC_017826-p0123.forward.frame1	PF02399	0_0	-
NC_017826-p0128.forward.frame1	PF02689	0_0	2
NC_017826-p0168.forward.frame1	PF00069	3.8e-43_2.4e-39	4062
NC_017826-p0168.forward.frame1	PF07714	8.9e-32_5.4e-28	1877
NC_017826-p0174.forward.frame1	PF05955	4e-133_5.8e-129	-
NC_017826-p0216.forward.frame1	PF13639	5.8e-15_1.5e-11	31
NC_017826-p0216.forward.frame1	PF13920	9.4e-15_2.5e-11	47
NC_017826-p0216.forward.frame1	PF00097	6.1e-14_1.4e-10	6
NC_017826-p0216.forward.frame1	PF13923	2.2e-12_4.3e-09	29
NC_017826-p0216.forward.frame1	PF12678	1.8e-11_3.1e-08	19
NC_017826-p0263.forward.frame2	PF03970	6.4e-62_6.4e-58	2
NC_017826-p0279.forward.frame2	PF01673	7.3e-192_1e-187	-
NC_017826-p0298.forward.frame2	PF00606	9.9e-90_3.1e-86	43
NC_017826-p0298.forward.frame2	PF17416	2.7e-72_8.8e-69	38
NC_017826-p0298.forward.frame2	PF17417	5.9e-30_3.5e-27	38
NC_017826-p0309.forward.frame2	PF00693	1e-94_1.4e-90	79
NC_017826-p0332.forward.frame2	PF03580	3.2e-42_3.4e-38	-
NC_017826-p0336.forward.frame2	PF11094	8.4e-13_1.4e-08	-
NC_017826-p0352.forward.frame2	PF03277	1.7e-43_2.5e-39	-
NC_017826-p0383.forward.frame2	PF02053	1.8e-96_2.5e-92	-
NC_017826-p0391.forward.frame2	PF01537	1.9e-39_1.9e-35	18
NC_017826-p0396.forward.frame2	PF01688	1.4e-34_1.1e-30	-
NC_017826-p0397.forward.frame2	PF02480	5.5e-62_7.3e-58	4
NC_017826-p0402.forward.frame2	PF06307	3.8e-109_5e-105	-
NC_017826-p0417.forward.frame2	PF03585	2.2e-35_2.3e-31	-
NC_017826-p0442.forward.frame3	PF04823	2e-38_3.3e-34	1
NC_017826-p0445.forward.frame3	PF03362	1.4e-56_1.7e-52	-
NC_017826-p0446.forward.frame3	PF03387	4e-132_4.1e-128	-
