# Results for NC_024450 (FaHV1)
NC_024450-p0035.forward.frame1	PF07420	2.5e-23_4.2e-19	-
NC_024450-p0039.forward.frame1	PF03369	1.7e-75_2.3e-71	-
NC_024450-p0073.forward.frame1	PF01528	3.5e-109_4.6e-105	-
NC_024450-p0159.forward.frame1	PF00136	4.9e-164_2.1e-160	234
NC_024450-p0159.forward.frame1	PF03104	1.9e-100_8.3e-97	264
NC_024450-p0159.forward.frame1	PF11590	4.9e-10_1.1e-06	4
NC_024450-p0167.forward.frame1	PF03581	4.6e-30_5.3e-26	-
NC_024450-p0168.forward.frame1	PF04541	9.6e-40_1.2e-35	50
NC_024450-p0169.forward.frame1	PF04496	6.8e-26_7.2e-22	-
NC_024450-p0198.forward.frame1	PF02867	1.9e-124_1.3e-120	154
NC_024450-p0198.forward.frame1	PF00317	2.7e-16_1e-12	149
NC_024450-p0207.forward.frame1	PF02282	9.6e-19_2.6e-20	8
NC_024450-p0211.forward.frame1	PF02124	1.5e-44_5.4e-41	-
NC_024450-p0211.forward.frame1	PF07654	2.2e-11_2.9e-09	4721
NC_024450-p0213.forward.frame1	PF05473	1e-33_1.5e-29	-
NC_024450-p0245.forward.frame1	PF01621	1.8e-93_2.5e-89	-
NC_024450-p0328.forward.frame1	PF02053	1.7e-54_1.5e-50	-
NC_024450-p0342.forward.frame1	PF01688	7.3e-30_6.3e-26	-
NC_024450-p0417.forward.frame2	PF00151	3.1e-09_3.4e-05	20
NC_024450-p0422.forward.frame2	PF05259	5.3e-21_2.2e-17	4
NC_024450-p0422.forward.frame2	PF12524	2.3e-08_9.3e-05	1
NC_024450-p0433.forward.frame2	PF01763	4.2e-193_4.9e-189	-
NC_024450-p0457.forward.frame2	PF02500	1.8e-110_2.4e-106	2
NC_024450-p0577.forward.frame2	PF00268	5.8e-63_6.9e-59	215
NC_024450-p0585.forward.frame2	PF05072	4.5e-10_5.4e-06	-
NC_024450-p0612.forward.frame2	PF00692	1.3e-22_2.7e-22	409
NC_024450-p0616.forward.frame2	PF03121	4e-26_3.4e-22	-
NC_024450-p0623.forward.frame2	PF04537	1.8e-40_1.8e-36	-
NC_024450-p0698.forward.frame2	PF02479	3.5e-34_3.4e-30	-
NC_024450-p0706.forward.frame2	PF00069	2.1e-45_1.4e-41	4062
NC_024450-p0706.forward.frame2	PF07714	4.3e-28_2.1e-24	1877
NC_024450-p0710.forward.frame2	PF01537	4.5e-33_3.4e-29	18
NC_024450-p0713.forward.frame2	PF02480	8.5e-68_1.1e-63	4
NC_024450-p0737.forward.frame2	PF03585	2.2e-151_2.6e-149	-
NC_024450-p0737.forward.frame2	PF03584	1.6e-74_6.7e-71	-
NC_024450-p0784.forward.frame3	PF03167	2.6e-24_3e-20	146
